STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,purchase,Purchases,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2012,,7.3,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2013,,10.7,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2014,,13.7,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2015,,6.9,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2016,,4.7,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2017,,5.5,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2018,,5.9,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2019,,7.0,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2020,,6.0,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2021,,15.0,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2022,,22.2,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2023,,5.9,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2024,,6.1,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,ES,Spain,2010,,-1.8,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,ES,Spain,2011,,-7.6,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,ES,Spain,2012,,-14.8,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,ES,Spain,2013,,-9.1,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,ES,Spain,2014,,0.3,,,,,
